Anos;nascimentos;obitos;stotal;snatural;smigra
1960;213895;;;;
1961;217516;99616;80000;117900;-37900
1962;220200;96900;50000;123300;-73300
1963;212152;98052;23000;114100;-91100
1964;217136;96836;-13000;120300;-133300
1965;210299;95199;-61000;115100;-176100
1966;206940;100040;-74000;106900;-180900
1967;202061;95861;-38000;106200;-144200
1968;194962;94662;-38000;100300;-138300
1969;189739;101039;-120000;88700;-208700
1970;180690;93090;-34700;87600;-122300
1971;181243;98643;-39000;82600;-121500
1972;174685;90285;12300;84400;-72000
1973;172324;95424;-7000;76900;-83900
1974;171979;96879;249500;75100;174500
1975;179648;97948;428700;81700;347000
1976;186712;102012;96000;84700;11300
1977;181064;96064;103700;85000;18800
1978;167467;96167;101400;71300;30100
1979;160311;92711;104600;67600;37000
1980;158309;94794;105400;63500;41900
1981;152071;95728;64700;56300;8300
1982;151002;92379;56200;58600;-2400
1983;144296;96179;36000;48100;-12100
1984;142783;96975;40700;45800;-5100
1985;130450;97085;14000;33400;-19300
1986;126715;95521;4200;31200;-27000
1987;123179;95102;-9600;28100;-37700
1988;122093;97844;-11200;24200;-35500
1989;118483;95743;-18000;22700;-40800
1990;116321;102768;-25600;13600;-39100
1991;116299;103882;-20400;12400;-32800
1992;114924;100638;4900;14300;-9400
1993;113960;105950;19400;8000;11400
1994;109227;99232;34300;10000;24300
1995;107097;103475;35000;3600;31400
1996;110261;106881;40500;3400;37100
1997;112933;104778;49600;8200;41400
1998;113384;106198;52900;7200;45700
1999;116002;107871;62400;8100;54300
2000;120008;105364;81800;14600;67100
2001;112774;105092;63900;7700;56200
2002;114383;106258;49900;8100;41800
2003;112515;108795;28500;3700;24700
2004;109298;102012;21600;7300;14300
2005;109399;107464;17300;1900;15400
2006;105449;101990;20600;3500;17100
2007;102492;103512;20800;-1000;21800
2008;104594;104280;9700;300;9400
2009;99491;104434;10500;-4900;15400
2010;101381;105954;-800;-4600;3800
2011;96856;102848;-30300;-6000;-24300
2012;89841;107612;-55100;-17800;-37300
2013;82787;106554;-60000;-23800;-36200
2014;82367;104843;-52500;-22500;-30000
2015;85500;108539;-33500;-23000;-10500
2016;87126;110573;-31800;-23400;-8300
2017;86154;109758;-18500;-23600;5100
2018;87020;113051;-14400;-26000;11600
2019;86579;111843;19300;-25300;44600
2020;84530;123396;75700;-38900;114600
2021;79582;124802;-19600;-45200;25600
